Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2026-01-02,0.677355,0.800000,0.00000000,0.00000000,1.000000,1.000000
2026-01-05,0.659809,0.800000,0.01062809,0.01569184,1.010628,1.015692
2026-01-06,0.645248,1.000000,0.01166766,0.01769669,1.022420,1.033666
2026-01-07,0.646050,0.800000,0.00115030,0.00179401,1.023596,1.035521
2026-01-08,0.639853,0.800000,-0.00747635,-0.01157178,1.015943,1.023538
2026-01-09,0.622975,1.000000,0.01239264,0.01937279,1.028533,1.043367
2026-01-12,0.624952,1.000000,0.00109886,0.00177743,1.029664,1.045221
2026-01-13,0.722292,1.000000,-0.00221860,-0.00354845,1.027379,1.041512
2026-01-14,0.695434,1.000000,-0.01508618,-0.02081916,1.011880,1.019829
2026-01-15,0.694251,1.000000,0.00436411,0.00629468,1.016296,1.026248
2026-01-16,0.835508,1.000000,-0.00183421,-0.00264114,1.014432,1.023538
2026-01-20,0.725409,1.000000,-0.03523761,-0.04209056,0.978686,0.980457
2026-01-21,0.724609,1.000000,0.01904854,0.02633492,0.997328,1.006277
2026-01-22,0.712847,1.000000,0.01099098,0.01516871,1.008290,1.021541
2026-01-23,0.716951,1.000000,0.00437415,0.00614442,1.012700,1.027817
2026-01-26,0.713791,1.000000,0.00606788,0.00846631,1.018845,1.036519
2026-01-27,0.692478,1.000000,0.01276922,0.01789152,1.031855,1.055064
2026-01-28,0.700168,1.000000,0.00373450,0.00540834,1.035708,1.060770
2026-01-29,0.691574,0.800000,-0.00791325,-0.01129643,1.027513,1.048787
2026-01-30,0.669342,0.800000,-0.01703025,-0.02461914,1.010014,1.022967
2026-02-02,0.661717,1.000000,0.00950967,0.01422410,1.019619,1.037518
2026-02-03,0.618638,0.800000,-0.02065697,-0.03121146,0.998556,1.005136
2026-02-04,0.438984,0.600000,-0.02179585,-0.03519716,0.976792,0.969758
2026-02-05,0.422073,0.600000,-0.01261746,-0.02853781,0.964467,0.942083
2026-02-06,0.377289,0.600000,0.01756725,0.04164140,0.981410,0.981312
2026-02-09,0.507366,0.800000,0.00568162,0.01511841,0.986986,0.996148
2026-02-10,0.506531,0.800000,-0.00478776,-0.00930831,0.982261,0.986876
2026-02-11,0.378855,0.600000,0.00248902,0.00491469,0.984706,0.991726
2026-02-12,0.358531,0.600000,-0.01548614,-0.04070763,0.969457,0.951355
2026-02-13,0.359311,0.600000,0.00122633,0.00344876,0.970645,0.954636
2026-02-17,0.359299,0.600000,-0.00080579,-0.00224151,0.969863,0.952496
2026-02-18,0.384305,0.600000,0.00527352,0.01467726,0.974978,0.966476
2026-02-19,0.533680,0.800000,-0.00290543,-0.00752769,0.972145,0.959201
2026-02-20,0.531320,0.800000,0.00913217,0.01725164,0.981023,0.975749
2026-02-23,0.520230,0.800000,-0.01281811,-0.02412282,0.968448,0.952211
2026-02-24,0.508107,0.800000,0.01074978,0.02067418,0.978859,0.971897
2026-02-25,0.493776,0.800000,0.01453689,0.02862182,0.993088,0.999715
2026-02-26,0.485691,0.800000,-0.01156245,-0.02340188,0.981606,0.976320
2026-02-27,0.365131,0.600000,-0.00319756,-0.00657520,0.978467,0.969900
2026-03-02,0.373240,0.600000,0.00069160,0.00205921,0.979144,0.971897
2026-03-03,0.372796,0.600000,-0.00794767,-0.02128285,0.971362,0.951213
2026-03-04,0.368888,0.600000,0.01101372,0.02954418,0.982060,0.979315
2026-03-05,0.392718,0.600000,-0.00209763,-0.00568105,0.980000,0.973752
2026-03-06,0.390390,0.600000,-0.01192120,-0.03032526,0.968317,0.944223
2026-03-09,0.553285,0.800000,0.01032040,0.02643911,0.978311,0.969187
2026-03-10,0.421718,0.600000,-0.00032574,-0.00044153,0.977992,0.968759
2026-03-11,0.423610,0.600000,-0.00012791,-0.00014732,0.977867,0.968616
2026-03-12,0.398188,0.600000,-0.01447481,-0.03416790,0.963713,0.935521
2026-03-13,0.434514,0.600000,-0.00499159,-0.01250384,0.958902,0.923823
2026-03-16,0.420148,0.600000,0.00957658,0.02208152,0.968085,0.944223
2026-03-17,0.556789,0.800000,0.00418221,0.00997123,0.972134,0.953638
2026-03-18,0.404420,0.600000,-0.01589330,-0.02842183,0.956683,0.926533
2026-03-19,0.404682,0.600000,-0.00269133,-0.00646642,0.954109,0.920542
2026-03-20,0.000000,0.200000,-0.01505106,-0.03719200,0.939748,0.886305
2026-03-23,0.000000,0.200000,-0.00020234,0.02333817,0.939558,0.906990
2026-03-24,0.000000,0.200000,-0.00000000,-0.01478457,0.939558,0.893581
2026-03-25,0.000000,0.200000,0.00000000,0.01282197,0.939558,0.905038
2026-03-26,0.000000,0.200000,-0.00000000,-0.04729623,0.939558,0.862233
2026-03-27,0.000000,0.200000,-0.00000000,-0.03938443,0.939558,0.828275
2026-03-30,0.000000,0.200000,-0.00000000,-0.01533160,0.939558,0.815576
2026-03-31,0.000000,0.200000,0.00000000,0.06717985,0.939558,0.870366
2026-04-01,0.000000,0.200000,0.00000000,0.02442626,0.939558,0.891626
2026-04-02,0.000000,0.200000,0.00000000,0.00176023,0.939558,0.893195
2026-04-06,0.000000,0.200000,0.00000000,0.01198083,0.939558,0.903897
2026-04-07,0.000000,0.200000,0.00000000,0.00063143,0.939558,0.904467
2026-04-08,0.185546,0.400000,0.00000000,0.05821111,0.939558,0.957117
2026-04-09,0.369151,0.800000,0.00247964,0.01386405,0.941888,0.970387
2026-04-10,0.382939,0.800000,0.00088522,0.00264667,0.942722,0.972955
2026-04-13,0.382325,0.800000,0.00785515,0.02053078,0.950127,0.992931
2026-04-14,0.374659,1.000000,0.01378955,0.03606843,0.963229,1.028744
2026-04-15,0.369469,1.000000,0.01044091,0.02787798,0.973286,1.057423
2026-04-16,0.382707,1.000000,0.00343735,0.00931052,0.976631,1.067269
2026-04-17,0.381710,1.000000,0.00986804,0.02580214,0.986269,1.094806
2026-04-20,0.406262,1.000000,-0.00228890,-0.00599513,0.984011,1.088243
2026-04-21,0.404418,1.000000,-0.00320824,-0.00786677,0.980854,1.079682
2026-04-22,0.405891,1.000000,0.01341377,0.03317037,0.994011,1.115495
2026-04-23,0.399372,1.000000,-0.00456947,-0.01125604,0.989469,1.102939
2026-04-24,0.443836,1.000000,0.01518627,0.03803357,1.004495,1.144888
2026-04-27,0.504359,1.000000,0.00025435,0.00062317,1.004751,1.145602
2026-04-28,0.495871,1.000000,-0.01020666,-0.02017689,0.994496,1.122487
2026-04-29,0.581840,1.000000,0.00610985,0.01233000,1.000572,1.136327
2026-04-30,0.586022,1.000000,0.01025833,0.01770472,1.010836,1.156446
2026-05-01,0.590734,1.000000,0.01120497,0.01912394,1.022163,1.178561
2026-05-04,0.578193,1.000000,-0.00229091,-0.00387409,1.019821,1.173995
2026-05-05,0.579833,1.000000,0.01482099,0.02564415,1.034936,1.204102
2026-05-06,0.635657,1.000000,0.02377241,0.04100011,1.059539,1.253470
2026-05-07,0.623421,1.000000,-0.00140266,-0.00216272,1.058052,1.250759
2026-05-08,0.582515,1.000000,0.02886781,0.04631528,1.088596,1.308688
2026-05-11,0.580705,1.000000,0.00340910,0.00588749,1.092307,1.316393
2026-05-12,0.566261,1.000000,-0.00988283,-0.01701712,1.081512,1.293992
2026-05-13,0.573321,1.000000,0.01160646,0.02050943,1.094065,1.320531
