Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2026-01-02,1.250000,0.800000,0.00000000,0.00000000,1.000000,1.000000
2026-01-05,1.250000,0.800000,0.01961480,0.01569184,1.019615,1.015692
2026-01-06,1.250000,1.000000,0.02212086,0.01769669,1.042170,1.033666
2026-01-07,1.250000,0.800000,0.00224251,0.00179401,1.044507,1.035521
2026-01-08,1.250000,0.800000,-0.01446472,-0.01157178,1.029398,1.023538
2026-01-09,1.250000,1.000000,0.02421599,0.01937279,1.054326,1.043367
2026-01-12,1.250000,1.000000,0.00222179,0.00177743,1.056669,1.045221
2026-01-13,1.250000,1.000000,-0.00443556,-0.00354845,1.051982,1.041512
2026-01-14,1.250000,1.000000,-0.02602395,-0.02081916,1.024605,1.019829
2026-01-15,1.250000,1.000000,0.00786835,0.00629468,1.032667,1.026248
2026-01-16,1.250000,1.000000,-0.00330143,-0.00264114,1.029258,1.023538
2026-01-20,1.250000,1.000000,-0.05261320,-0.04209056,0.975105,0.980457
2026-01-21,1.250000,1.000000,0.03291866,0.02633492,1.007204,1.006277
2026-01-22,1.250000,1.000000,0.01896088,0.01516871,1.026302,1.021541
2026-01-23,1.250000,1.000000,0.00768053,0.00614442,1.034184,1.027817
2026-01-26,1.250000,1.000000,0.01058288,0.00846631,1.045129,1.036519
2026-01-27,1.250000,1.000000,0.02236441,0.01789152,1.068503,1.055064
2026-01-28,1.250000,1.000000,0.00676042,0.00540834,1.075726,1.060770
2026-01-29,1.250000,0.800000,-0.01412054,-0.01129643,1.060536,1.048787
2026-01-30,1.250000,0.800000,-0.03077393,-0.02461914,1.027899,1.022967
2026-02-02,1.250000,1.000000,0.01778012,0.01422410,1.046176,1.037518
2026-02-03,1.250000,0.800000,-0.03901433,-0.03121146,1.005360,1.005136
2026-02-04,1.000000,0.600000,-0.04399645,-0.03519716,0.961127,0.969758
2026-02-05,1.000000,0.600000,-0.02866281,-0.02853781,0.933579,0.942083
2026-02-06,0.978156,0.600000,0.04164140,0.04164140,0.972454,0.981312
2026-02-09,1.233182,0.800000,0.01477725,0.01511841,0.986825,0.996148
2026-02-10,1.231151,0.800000,-0.01160635,-0.00930831,0.975371,0.986876
2026-02-11,0.982217,0.600000,0.00604971,0.00491469,0.981272,0.991726
2026-02-12,0.929525,0.600000,-0.04010821,-0.04070763,0.941915,0.951355
2026-02-13,0.931547,0.600000,0.00317936,0.00344876,0.944909,0.954636
2026-02-17,0.931516,0.600000,-0.00208909,-0.00224151,0.942935,0.952496
2026-02-18,0.996346,0.600000,0.01367209,0.01467726,0.955827,0.966476
2026-02-19,1.250000,0.800000,-0.00753260,-0.00752769,0.948627,0.959201
2026-02-20,1.250000,0.800000,0.02143772,0.01725164,0.968964,0.975749
2026-02-23,1.250000,0.800000,-0.03015352,-0.02412282,0.939746,0.952211
2026-02-24,1.234982,0.800000,0.02584272,0.02067418,0.964032,0.971897
2026-02-25,1.200150,0.800000,0.03533993,0.02862182,0.998101,0.999715
2026-02-26,1.180500,0.800000,-0.02810318,-0.02340188,0.970051,0.976320
