Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2025-01-02,1.239037,0.800000,0.00000000,0.00000000,1.000000,1.000000
2025-01-03,1.214963,1.000000,0.04047250,0.03266534,1.040472,1.032665
2025-01-06,1.192111,1.000000,0.02761059,0.02273536,1.069201,1.056143
2025-01-07,1.153199,0.800000,-0.04295714,-0.03602493,1.023271,1.018096
2025-01-08,1.161507,0.800000,0.00019079,0.00018232,1.023466,1.018281
2025-01-10,1.126953,0.800000,-0.03705203,-0.03189639,0.985544,0.985802
2025-01-13,1.191438,0.800000,-0.00701893,-0.00621290,0.978627,0.979677
2025-01-14,1.194697,0.800000,-0.00285382,-0.00236821,0.975834,0.977357
2025-01-15,1.112333,0.800000,0.05399336,0.04519553,1.028523,1.021529
2025-01-16,1.149115,0.800000,-0.01489514,-0.01335388,1.013203,1.007888
2025-01-17,1.099679,0.800000,0.03785872,0.03296198,1.051561,1.041110
2025-01-21,1.250000,0.800000,0.01183574,0.01078538,1.064007,1.052339
2025-01-22,1.250000,1.000000,0.03255262,0.02610222,1.098644,1.079807
2025-01-23,1.250000,1.000000,0.00547864,0.00438291,1.104663,1.084540
2025-01-24,1.250000,1.000000,-0.01475999,-0.01180800,1.088358,1.071734
2025-01-27,1.191297,0.800000,-0.07392409,-0.05913927,1.007902,1.008352
2025-01-28,1.146701,0.800000,0.03582126,0.03009376,1.044006,1.038697
2025-01-29,1.174933,0.800000,-0.00463235,-0.00402027,1.039170,1.034521
2025-01-30,1.205359,1.000000,0.00978757,0.00834234,1.049341,1.043152
2025-01-31,1.220885,1.000000,-0.00430435,-0.00355839,1.044824,1.039440
2025-02-03,1.207923,1.000000,-0.01940946,-0.01589150,1.024545,1.022921
2025-02-04,1.229567,1.000000,0.02947101,0.02440346,1.054739,1.047884
2025-02-05,1.250000,1.000000,0.01076924,0.00876736,1.066098,1.057071
2025-02-06,1.250000,1.000000,0.01260929,0.01009560,1.079541,1.067743
2025-02-07,1.250000,1.000000,-0.03161380,-0.02529104,1.045412,1.040739
2025-02-10,1.250000,1.000000,0.02942490,0.02353992,1.076173,1.065238
2025-02-11,1.250000,1.000000,-0.00588054,-0.00470443,1.069845,1.060226
2025-02-12,1.250000,1.000000,0.00142248,0.00113798,1.071367,1.061433
2025-02-13,1.250000,1.000000,0.03562672,0.02850138,1.109536,1.091685
2025-02-14,1.250000,1.000000,0.00956316,0.00765053,1.120147,1.100037
2025-02-18,1.250000,1.000000,0.00548335,0.00438668,1.126289,1.104863
2025-02-19,1.250000,1.000000,0.00063000,0.00050400,1.126998,1.105420
