Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2026-01-02,0.940770,0.800000,0.00000000,0.00000000,1.000000,1.000000
2026-01-05,0.916401,0.800000,0.01476124,0.01569184,1.014761,1.015692
2026-01-06,0.896177,1.000000,0.01620508,0.01769669,1.031206,1.033666
2026-01-07,0.897292,0.800000,0.00159764,0.00179401,1.032853,1.035521
2026-01-08,0.888685,0.800000,-0.01038382,-0.01157178,1.022128,1.023538
2026-01-09,0.865243,1.000000,0.01721200,0.01937279,1.039721,1.043367
2026-01-12,0.867989,1.000000,0.00152619,0.00177743,1.041308,1.045221
2026-01-13,1.000000,1.000000,-0.00308139,-0.00354845,1.038099,1.041512
2026-01-14,0.965881,1.000000,-0.02088517,-0.02081916,1.016418,1.019829
2026-01-15,0.964238,1.000000,0.00606285,0.00629468,1.022581,1.026248
2026-01-16,1.000000,1.000000,-0.00254751,-0.00264114,1.019976,1.023538
2026-01-20,1.000000,1.000000,-0.04210844,-0.04209056,0.977026,0.980457
2026-01-21,1.000000,1.000000,0.02633492,0.02633492,1.002756,1.006277
2026-01-22,0.990066,1.000000,0.01516871,0.01516871,1.017966,1.021541
2026-01-23,0.995765,1.000000,0.00607842,0.00614442,1.024154,1.027817
2026-01-26,0.991376,1.000000,0.00842761,0.00846631,1.032785,1.036519
2026-01-27,0.961775,1.000000,0.01773503,0.01789152,1.051102,1.055064
2026-01-28,0.972456,1.000000,0.00518680,0.00540834,1.056554,1.060770
2026-01-29,0.960519,0.800000,-0.01099062,-0.01129643,1.044941,1.048787
2026-01-30,0.929641,0.800000,-0.02365313,-0.02461914,1.020225,1.022967
2026-02-02,0.919052,1.000000,0.01320787,0.01422410,1.033700,1.037518
2026-02-03,0.859220,0.800000,-0.02869024,-0.03121146,1.004043,1.005136
2026-02-04,0.609700,0.600000,-0.03027201,-0.03519716,0.973649,0.969758
2026-02-05,0.586212,0.600000,-0.01752425,-0.02853781,0.956586,0.942083
2026-02-06,0.524012,0.600000,0.02439896,0.04164140,0.979926,0.981312
2026-02-09,0.704676,0.800000,0.00789113,0.01511841,0.987659,0.996148
2026-02-10,0.703515,0.800000,-0.00664967,-0.00930831,0.981091,0.986876
2026-02-11,0.526188,0.600000,0.00345698,0.00491469,0.984483,0.991726
2026-02-12,0.497960,0.600000,-0.02150853,-0.04070763,0.963308,0.951355
2026-02-13,0.499043,0.600000,0.00170323,0.00344876,0.964949,0.954636
2026-02-17,0.499026,0.600000,-0.00111915,-0.00224151,0.963869,0.952496
2026-02-18,0.533757,0.600000,0.00732433,0.01467726,0.970928,0.966476
2026-02-19,0.741223,0.800000,-0.00403532,-0.00752769,0.967010,0.959201
2026-02-20,0.737944,0.800000,0.01268357,0.01725164,0.979276,0.975749
2026-02-23,0.722542,0.800000,-0.01780293,-0.02412282,0.961842,0.952211
2026-02-24,0.705704,0.800000,0.01493025,0.02067418,0.976202,0.971897
2026-02-25,0.685800,0.800000,0.02019012,0.02862182,0.995912,0.999715
2026-02-26,0.674571,0.800000,-0.01605896,-0.02340188,0.979918,0.976320
2026-02-27,0.507126,0.600000,-0.00444105,-0.00657520,0.975567,0.969900
2026-03-02,0.518390,0.600000,0.00096056,0.00205921,0.976504,0.971897
2026-03-03,0.517772,0.600000,-0.01103844,-0.02128285,0.965725,0.951213
2026-03-04,0.512345,0.600000,0.01529683,0.02954418,0.980497,0.979315
2026-03-05,0.545442,0.600000,-0.00291337,-0.00568105,0.977641,0.973752
2026-03-06,0.542209,0.600000,-0.01655722,-0.03032526,0.961454,0.944223
2026-03-09,0.768451,0.800000,0.01433389,0.02643911,0.975235,0.969187
2026-03-10,0.585720,0.600000,-0.00045241,-0.00044153,0.974794,0.968759
2026-03-11,0.588347,0.600000,-0.00017765,-0.00014732,0.974621,0.968616
2026-03-12,0.553039,0.600000,-0.02010390,-0.03416790,0.955027,0.935521
2026-03-13,0.603492,0.600000,-0.00693277,-0.01250384,0.948406,0.923823
2026-03-16,0.583539,0.600000,0.01330080,0.02208152,0.961020,0.944223
2026-03-17,0.773319,0.800000,0.00580862,0.00997123,0.966603,0.953638
2026-03-18,0.561694,0.600000,-0.02207402,-0.02842183,0.945266,0.926533
2026-03-19,0.562058,0.600000,-0.00373796,-0.00646642,0.941732,0.920542
2026-03-20,0.000000,0.200000,-0.02090425,-0.03719200,0.922046,0.886305
2026-03-23,0.000000,0.200000,-0.00028103,0.02333817,0.921787,0.906990
2026-03-24,0.000000,0.200000,-0.00000000,-0.01478457,0.921787,0.893581
2026-03-25,0.000000,0.200000,0.00000000,0.01282197,0.921787,0.905038
2026-03-26,0.000000,0.200000,-0.00000000,-0.04729623,0.921787,0.862233
2026-03-27,0.000000,0.200000,-0.00000000,-0.03938443,0.921787,0.828275
2026-03-30,0.000000,0.200000,-0.00000000,-0.01533160,0.921787,0.815576
2026-03-31,0.000000,0.200000,0.00000000,0.06717985,0.921787,0.870366
2026-04-01,0.000000,0.200000,0.00000000,0.02442626,0.921787,0.891626
2026-04-02,0.000000,0.200000,0.00000000,0.00176023,0.921787,0.893195
2026-04-06,0.000000,0.200000,0.00000000,0.01198083,0.921787,0.903897
2026-04-07,0.000000,0.200000,0.00000000,0.00063143,0.921787,0.904467
2026-04-08,0.257702,0.400000,0.00000000,0.05821111,0.921787,0.957117
2026-04-09,0.512710,0.800000,0.00344395,0.01386405,0.924962,0.970387
2026-04-10,0.531860,0.800000,0.00122947,0.00264667,0.926099,0.972955
2026-04-13,0.531007,0.800000,0.01090992,0.02053078,0.936203,0.992931
2026-04-14,0.520360,1.000000,0.01915215,0.03606843,0.954133,1.028744
2026-04-15,0.513151,1.000000,0.01450126,0.02787798,0.967969,1.057423
2026-04-16,0.531537,1.000000,0.00477410,0.00931052,0.972590,1.067269
2026-04-17,0.530153,1.000000,0.01370561,0.02580214,0.985920,1.094806
2026-04-20,0.564252,1.000000,-0.00317903,-0.00599513,0.982786,1.088243
2026-04-21,0.561692,1.000000,-0.00445589,-0.00786677,0.978407,1.079682
2026-04-22,0.563738,1.000000,0.01863024,0.03317037,0.996635,1.115495
2026-04-23,0.554683,1.000000,-0.00634648,-0.01125604,0.990309,1.102939
2026-04-24,0.616439,1.000000,0.02109204,0.03803357,1.011197,1.144888
2026-04-27,0.700499,1.000000,0.00035327,0.00062317,1.011554,1.145602
2026-04-28,0.688710,1.000000,-0.01417592,-0.02017689,0.997215,1.122487
2026-04-29,0.808111,1.000000,0.00848590,0.01233000,1.005677,1.136327
2026-04-30,0.813920,1.000000,0.01424767,0.01770472,1.020005,1.156446
2026-05-01,0.820464,1.000000,0.01556245,0.01912394,1.035879,1.178561
2026-05-04,0.803045,1.000000,-0.00318182,-0.00387409,1.032583,1.173995
2026-05-05,0.805324,1.000000,0.02058470,0.02564415,1.053839,1.204102
2026-05-06,0.882858,1.000000,0.03301724,0.04100011,1.088634,1.253470
2026-05-07,0.865863,1.000000,-0.00194814,-0.00216272,1.086513,1.250759
2026-05-08,0.809049,1.000000,0.04009418,0.04631528,1.130076,1.308688
2026-05-11,0.806534,1.000000,0.00473486,0.00588749,1.135426,1.316393
2026-05-12,0.786473,1.000000,-0.01372615,-0.01701712,1.119841,1.293992
2026-05-13,0.796279,1.000000,0.01612009,0.02050943,1.137893,1.320531
