Date,Close,Contribution,CumulativeContribution,DcaOnlyValue,DcaStrategyValue,StrategyPosition,TrendScore
2026-01-02,70.085449,0.00,0.00,0.00,0.00,1.000000,0.800000
2026-01-05,71.185219,100.00,100.00,99.95,99.95,1.000000,0.800000
2026-01-06,72.444962,0.00,100.00,101.72,101.72,1.000000,1.000000
2026-01-07,72.574928,0.00,100.00,101.90,101.90,1.000000,0.800000
2026-01-08,71.735107,0.00,100.00,100.72,100.72,1.000000,0.800000
2026-01-09,73.124817,0.00,100.00,102.67,102.67,1.000000,1.000000
2026-01-12,73.254791,100.00,200.00,202.81,202.81,1.000000,1.000000
2026-01-13,72.994850,0.00,200.00,202.09,202.09,1.000000,1.000000
2026-01-14,71.475159,0.00,200.00,197.88,197.88,1.000000,1.000000
2026-01-15,71.925072,0.00,200.00,199.12,199.12,1.000000,1.000000
2026-01-16,71.735107,0.00,200.00,198.60,198.60,1.000000,1.000000
2026-01-20,68.715736,0.00,200.00,190.24,190.24,1.000000,1.000000
2026-01-21,70.525360,0.00,200.00,195.25,195.25,1.000000,1.000000
2026-01-22,71.595139,0.00,200.00,198.21,198.21,1.000000,1.000000
2026-01-23,72.035049,0.00,200.00,199.43,199.43,1.000000,1.000000
2026-01-26,72.644920,100.00,300.00,301.07,301.07,1.000000,1.000000
2026-01-27,73.944649,0.00,300.00,306.45,306.45,1.000000,1.000000
2026-01-28,74.344566,0.00,300.00,308.11,308.11,1.000000,1.000000
2026-01-29,73.504738,0.00,300.00,304.63,304.63,1.000000,0.800000
2026-01-30,71.695114,0.00,300.00,297.13,297.13,1.000000,0.800000
2026-02-02,72.714912,100.00,400.00,401.31,401.31,1.000000,1.000000
2026-02-03,70.445374,0.00,400.00,388.78,388.78,1.000000,0.800000
2026-02-04,67.965897,0.00,400.00,375.10,375.10,1.000000,0.600000
2026-02-05,66.026299,0.00,400.00,364.39,364.39,1.000000,0.600000
2026-02-06,68.775726,0.00,400.00,379.57,379.56,0.978156,0.600000
2026-02-09,69.815506,100.00,500.00,485.26,485.12,1.000000,0.800000
2026-02-10,69.165642,0.00,500.00,480.74,480.61,1.000000,0.800000
2026-02-11,69.505569,0.00,500.00,483.10,482.96,0.982217,0.600000
2026-02-12,66.676163,0.00,500.00,463.44,463.64,0.929525,0.600000
2026-02-13,66.906113,0.00,500.00,465.03,465.13,0.931547,0.600000
2026-02-17,66.756142,0.00,500.00,463.99,464.16,0.931516,0.600000
2026-02-18,67.735939,0.00,500.00,470.80,470.49,0.996346,0.600000
2026-02-19,67.226044,0.00,500.00,467.26,466.96,1.000000,0.800000
2026-02-20,68.385803,0.00,500.00,475.32,475.01,1.000000,0.800000
2026-02-23,66.736145,100.00,600.00,563.80,563.50,1.000000,0.800000
2026-02-24,68.115860,0.00,600.00,575.46,575.15,1.000000,0.800000
2026-02-25,70.065460,0.00,600.00,591.93,591.62,1.000000,0.800000
2026-02-26,68.425797,0.00,600.00,578.08,577.77,1.000000,0.800000
2026-02-27,67.975883,0.00,600.00,574.28,573.96,0.946635,0.600000
2026-03-02,68.115860,100.00,700.00,675.41,675.02,0.967660,0.600000
2026-03-03,66.666161,0.00,700.00,661.03,661.12,0.966507,0.600000
2026-03-04,68.635757,0.00,700.00,680.56,679.99,0.956377,0.600000
2026-03-05,68.245834,0.00,700.00,676.70,676.28,1.000000,0.600000
2026-03-06,66.176262,0.00,700.00,656.18,655.78,1.000000,0.600000
2026-03-09,67.925903,100.00,800.00,773.48,773.06,1.000000,0.800000
2026-03-10,67.895912,0.00,800.00,773.13,772.72,1.000000,0.600000
2026-03-11,67.885910,0.00,800.00,773.02,772.61,1.000000,0.600000
2026-03-12,65.566391,0.00,800.00,746.61,746.21,1.000000,0.600000
2026-03-13,64.746559,0.00,800.00,737.27,736.88,1.000000,0.600000
2026-03-16,66.176262,100.00,900.00,853.50,853.10,1.000000,0.600000
2026-03-17,66.836121,0.00,900.00,862.01,861.61,1.000000,0.800000
2026-03-18,64.936516,0.00,900.00,837.51,837.12,1.000000,0.600000
2026-03-19,64.516609,0.00,900.00,832.10,831.71,1.000000,0.600000
2026-03-20,62.117107,0.00,900.00,801.15,800.51,0.350000,0.200000
2026-03-23,63.566807,100.00,1000.00,919.80,907.04,0.346737,0.200000
2026-03-24,62.626999,0.00,1000.00,906.20,902.39,0.350000,0.200000
2026-03-25,63.430000,0.00,1000.00,917.82,906.44,0.350000,0.200000
2026-03-26,60.430000,0.00,1000.00,874.41,891.43,0.342869,0.200000
2026-03-27,58.049999,0.00,1000.00,839.97,879.39,0.325363,0.200000
2026-03-30,57.160000,100.00,1100.00,927.04,974.98,0.326102,0.200000
2026-03-31,61.000000,0.00,1100.00,989.32,996.31,0.267553,0.200000
2026-04-01,62.490002,0.00,1100.00,1013.49,1002.82,0.270293,0.200000
2026-04-02,62.599998,0.00,1100.00,1015.27,1003.29,0.270015,0.200000
2026-04-06,63.349998,100.00,1200.00,1127.38,1106.52,0.274781,0.200000
