Date,Close,Contribution,CumulativeContribution,DcaOnlyValue,DcaStrategyValue,StrategyPosition,TrendScore
2025-01-02,53.762211,0.00,0.00,0.00,0.00,1.000000,0.800000
2025-01-03,55.518372,0.00,0.00,0.00,0.00,1.000000,1.000000
2025-01-06,56.780602,100.00,100.00,99.95,99.95,1.000000,1.000000
2025-01-07,54.735085,0.00,100.00,96.35,96.35,1.000000,0.800000
2025-01-08,54.745064,0.00,100.00,96.37,96.37,1.000000,0.800000
2025-01-10,52.998894,0.00,100.00,93.29,93.29,0.986084,0.800000
2025-01-13,52.669617,100.00,200.00,192.66,192.67,1.000000,0.800000
2025-01-14,52.544884,0.00,200.00,192.21,192.21,1.000000,0.800000
2025-01-15,54.919678,0.00,200.00,200.89,200.90,0.973291,0.800000
2025-01-16,54.186287,0.00,200.00,198.21,198.28,1.000000,0.800000
2025-01-17,55.972374,0.00,200.00,204.74,204.82,0.962219,0.800000
2025-01-21,56.576057,0.00,200.00,206.95,206.94,1.000000,0.800000
2025-01-22,58.052818,0.00,200.00,212.36,212.34,1.000000,1.000000
2025-01-23,58.307259,0.00,200.00,213.29,213.27,1.000000,1.000000
2025-01-24,57.618767,0.00,200.00,210.77,210.75,1.000000,1.000000
2025-01-27,54.211235,100.00,300.00,298.25,298.24,1.000000,0.800000
2025-01-28,55.842655,0.00,300.00,307.23,307.21,1.000000,0.800000
2025-01-29,55.618153,0.00,300.00,305.99,305.98,1.000000,0.800000
2025-01-30,56.082138,0.00,300.00,308.55,308.53,1.000000,1.000000
2025-01-31,55.882576,0.00,300.00,307.45,307.43,1.000000,1.000000
2025-02-03,54.994518,100.00,400.00,402.51,402.50,1.000000,1.000000
2025-02-04,56.336575,0.00,400.00,412.33,412.32,1.000000,1.000000
2025-02-05,56.830498,0.00,400.00,415.95,415.94,1.000000,1.000000
2025-02-06,57.404236,0.00,400.00,420.15,420.13,1.000000,1.000000
2025-02-07,55.952423,0.00,400.00,409.52,409.51,1.000000,1.000000
2025-02-10,57.269539,100.00,500.00,519.11,519.10,1.000000,1.000000
2025-02-11,57.000118,0.00,500.00,516.67,516.66,1.000000,1.000000
2025-02-12,57.064983,0.00,500.00,517.26,517.24,1.000000,1.000000
2025-02-13,58.691414,0.00,500.00,532.00,531.99,1.000000,1.000000
2025-02-14,59.140434,0.00,500.00,536.07,536.06,1.000000,1.000000
2025-02-18,59.399864,0.00,500.00,538.42,538.41,1.000000,1.000000
2025-02-19,59.429802,0.00,500.00,538.69,538.68,1.000000,1.000000
2025-02-20,58.900959,0.00,500.00,533.90,533.89,1.000000,1.000000
2025-02-21,56.446339,0.00,500.00,511.65,511.64,1.000000,0.800000
2025-02-24,55.084320,100.00,600.00,599.26,599.24,1.000000,0.800000
2025-02-25,53.687378,0.00,600.00,584.06,584.04,1.000000,0.800000
2025-02-26,53.931843,0.00,600.00,586.72,586.70,1.000000,1.000000
