Date,Position,TrendScore,StrategyReturn,BuyHoldReturn,StrategyEquity,BuyHoldEquity
2010-01-04,0.000000,0.000000,0.00000000,0.00000000,1.000000,1.000000
2010-01-05,0.000000,0.000000,0.00000000,0.00065507,1.000000,1.000655
2010-01-06,0.000000,0.000000,-0.00000000,-0.01096419,1.000000,0.989684
2010-01-07,0.000000,0.000000,0.00000000,0.00016531,1.000000,0.989847
2010-01-08,0.000000,0.000000,0.00000000,0.01621213,1.000000,1.005895
2010-01-11,0.000000,0.000000,-0.00000000,-0.00732488,1.000000,0.998527
2010-01-12,0.000000,0.000000,-0.00000000,-0.02492638,1.000000,0.973637
2010-01-13,0.000000,0.000000,0.00000000,0.02388112,1.000000,0.996889
2010-01-14,0.000000,0.000000,0.00000000,0.00131409,1.000000,0.998199
2010-01-15,0.000000,0.000000,-0.00000000,-0.02230977,1.000000,0.975929
2010-01-19,0.000000,0.000000,0.00000000,0.03137614,1.000000,1.006550
2010-01-20,0.000000,0.000000,-0.00000000,-0.02798120,1.000000,0.978385
2010-01-21,0.000000,0.000000,-0.00000000,-0.01958122,1.000000,0.959227
2010-01-22,0.000000,0.000000,-0.00000000,-0.05752913,1.000000,0.904044
2010-01-25,0.000000,0.000000,0.00000000,0.00579585,1.000000,0.909284
2010-01-26,0.000000,0.000000,0.00000000,0.00216133,1.000000,0.911249
2010-01-27,0.000000,0.000000,0.00000000,0.01491498,1.000000,0.924840
2010-01-28,0.000000,0.000000,-0.00000000,-0.04992849,1.000000,0.878664
2010-01-29,0.000000,0.000000,-0.00000000,-0.03578115,1.000000,0.847225
2010-02-01,0.000000,0.000000,0.00000000,0.02087382,1.000000,0.864910
2010-02-02,0.000000,0.000000,0.00000000,0.01836388,1.000000,0.880793
2010-02-03,0.000000,0.000000,0.00000000,0.01152562,1.000000,0.890944
2010-02-04,0.000000,0.000000,-0.00000000,-0.05679056,1.000000,0.840347
2010-02-05,0.000000,0.000000,0.00000000,0.01422413,1.000000,0.852300
2010-02-08,0.000000,0.000000,-0.00000000,-0.01267958,1.000000,0.841493
2010-02-09,0.000000,0.000000,0.00000000,0.02062593,1.000000,0.858850
2010-02-10,0.000000,0.000000,-0.00000000,-0.00419387,1.000000,0.855248
2010-02-11,0.000000,0.000000,0.00000000,0.02929311,1.000000,0.880301
2010-02-12,0.000000,0.000000,0.00000000,0.00483691,1.000000,0.884559
2010-02-16,0.000000,0.000000,0.00000000,0.02517584,1.000000,0.906828
2010-02-17,0.000000,0.000000,0.00000000,0.01065282,1.000000,0.916489
2010-02-18,0.000000,0.000000,0.00000000,0.01286395,1.000000,0.928278
2010-02-19,0.000000,0.000000,-0.00000000,-0.00123353,1.000000,0.927133
2010-02-22,0.000000,0.000000,-0.00000000,-0.00423903,1.000000,0.923203
2010-02-23,0.000000,0.000000,-0.00000000,-0.02536391,1.000000,0.899787
2010-02-24,0.000000,0.000000,0.00000000,0.01965423,1.000000,0.917472
2010-02-25,0.000000,0.000000,0.00000000,0.00214183,1.000000,0.919437
2010-02-26,0.000000,0.000000,0.00000000,0.00587676,1.000000,0.924840
2010-03-01,0.000000,0.000000,0.00000000,0.02815181,1.000000,0.950876
2010-03-02,0.000000,0.000000,0.00000000,0.00602738,1.000000,0.956607
2010-03-03,0.000000,0.000000,0.00000000,0.00239587,1.000000,0.958899
2010-03-04,0.000000,0.000000,0.00000000,0.00631839,1.000000,0.964958
